,dataset,label,count
0,ABIDE,lh.aparc.a2009s,125
1,ABIDE,Yeo_Brainmap_fsaverage_README,1
2,ABIDE,rh.BA4a_exvivo,125
3,ABIDE,lh.BA1_exvivo,125
4,ABIDE,lh.entorhinal_exvivo,125
5,ABIDE,lh.BA1_exvivo.thresh,125
6,ABIDE,rh.BA4a_exvivo.thresh,125
7,ABIDE,lh.BA2_exvivo,125
8,ABIDE,lh.oasis.chubs.lateraltemporal,1
9,ABIDE,lh.BA2_exvivo.thresh,125
10,ABIDE,rh.BA4p_exvivo,125
11,ABIDE,lh.BA3a_exvivo,125
12,ABIDE,lh.oasis.chubs.medialpfc,1
13,ABIDE,lh.BA3a_exvivo.thresh,125
14,ABIDE,rh.BA4p_exvivo.thresh,125
15,ABIDE,lh.BA3b_exvivo,125
16,ABIDE,lh.oasis.chubs.mtl,1
17,ABIDE,lh.BA3b_exvivo.thresh,125
18,ABIDE,rh.BA6_exvivo,125
19,ABIDE,lh.BA44_exvivo,125
20,ABIDE,lh.oasis.chubs.retrosplenial,1
21,ABIDE,lh.BA44_exvivo.thresh,125
22,ABIDE,rh.BA6_exvivo.thresh,125
23,ABIDE,lh.BA45_exvivo,125
24,ABIDE,lh.oasis.chubs.tp,1
25,ABIDE,lh.BA45_exvivo.thresh,125
26,ABIDE,rh.MT_exvivo,125
27,ABIDE,lh.BA4a_exvivo,125
28,ABIDE,lh.perirhinal_exvivo,125
29,ABIDE,lh.BA4a_exvivo.thresh,125
30,ABIDE,rh.MT_exvivo.thresh,125
31,ABIDE,lh.BA4p_exvivo,125
32,ABIDE,lh.perirhinal_exvivo.thresh,125
33,ABIDE,lh.BA4p_exvivo.thresh,125
34,ABIDE,rh.Medial_wall,1
35,ABIDE,lh.BA6_exvivo,125
36,ABIDE,rh.BA1_exvivo,125
37,ABIDE,lh.BA6_exvivo.thresh,125
38,ABIDE,rh.PALS_B12.labels,1
39,ABIDE,lh.MT_exvivo,125
40,ABIDE,rh.BA1_exvivo.thresh,125
41,ABIDE,lh.MT_exvivo.thresh,125
42,ABIDE,rh.PALS_B12_Brodmann,1
43,ABIDE,lh.Medial_wall,1
44,ABIDE,rh.BA2_exvivo,125
45,ABIDE,lh.PALS_B12.labels,1
46,ABIDE,rh.BA2_exvivo.thresh,125
47,ABIDE,lh.PALS_B12_Brodmann,1
48,ABIDE,rh.BA3a_exvivo,125
49,ABIDE,lh.PALS_B12_Lobes,1
50,ABIDE,lh.aparc,126
51,ABIDE,lh.PALS_B12_OrbitoFrontal,1
52,ABIDE,rh.BA3a_exvivo.thresh,125
53,ABIDE,lh.PALS_B12_Visuotopic,1
54,ABIDE,rh.PALS_B12_Lobes,1
55,ABIDE,lh.V1_exvivo,125
56,ABIDE,rh.BA3b_exvivo,125
57,ABIDE,lh.V1_exvivo.thresh,125
58,ABIDE,rh.PALS_B12_Visuotopic,1
59,ABIDE,lh.V2_exvivo,125
60,ABIDE,rh.BA3b_exvivo.thresh,125
61,ABIDE,lh.V2_exvivo.thresh,125
62,ABIDE,lh.Yeo_Brainmap_12Comp_PrActGivenComp,1
63,ABIDE,lh.Yeo2011_17NetworksConfidence_N1000,1
64,ABIDE,lh.Yeo2011_17Networks_N1000,1
65,ABIDE,lh.Yeo_Brainmap_13Comp_PrActGivenComp,1
66,ABIDE,lh.Yeo2011_7NetworksConfidence_N1000,1
67,ABIDE,lh.cortex,125
68,ABIDE,lh.Yeo2011_7Networks_N1000,1
69,ABIDE,lh.Yeo_Brainmap_14Comp_PrActGivenComp,1
70,ABIDE,lh.Yeo_Brainmap_10Comp_PrActGivenComp,1
71,ABIDE,lh.aparc.a2005s,1
72,ABIDE,lh.Yeo_Brainmap_10to14Comp_Flexibility,1
73,ABIDE,lh.Yeo_Brainmap_10to14Comp_TopSpecializationComp,1
74,ABIDE,lh.Yeo_Brainmap_10to14Comp_Specialization,1
75,ABIDE,lh.Yeo_Brainmap_11Comp_PrActGivenComp,1
76,ABIDE,lh.Yeo_Brainmap_10to14Comp_SpecializationROI,1
77,ABIDE,rh.Yeo2011_17NetworksConfidence_N1000,1
78,ABIDE,lh.entorhinal_exvivo.thresh,125
79,ABIDE,rh.V1_exvivo,125
80,ABIDE,lh.oasis.chubs,1
81,ABIDE,rh.BA44_exvivo,125
82,ABIDE,lh.oasis.chubs.ifc,1
83,ABIDE,rh.BA44_exvivo.thresh,125
84,ABIDE,lh.oasis.chubs.ipc,1
85,ABIDE,rh.BA45_exvivo,125
86,ABIDE,lh.oasis.chubs.ips,1
87,ABIDE,rh.BA45_exvivo.thresh,125
88,ABIDE,rh.PALS_B12_OrbitoFrontal,1
89,ABIDE,rh.V1_exvivo.thresh,125
90,ABIDE,rh.V2_exvivo,125
91,ABIDE,rh.V2_exvivo.thresh,125
92,ABIDE,rh.Yeo2011_17Networks_N1000,1
93,ABIDE,rh.Yeo2011_7NetworksConfidence_N1000,1
94,ABIDE,rh.Yeo2011_7Networks_N1000,1
95,ABIDE,rh.Yeo_Brainmap_10Comp_PrActGivenComp,1
96,ABIDE,rh.Yeo_Brainmap_10to14Comp_Flexibility,1
97,ABIDE,rh.Yeo_Brainmap_10to14Comp_Specialization,1
98,ABIDE,rh.Yeo_Brainmap_10to14Comp_SpecializationROI,1
