,dataset,label,count
0,AHBA,rh.BA3b,6
1,AHBA,rh.BA45,6
2,AHBA,lh.aparc,6
3,AHBA,rh.BA3a.thresh,6
4,AHBA,lh.cortex,6
5,AHBA,lh.BA44.thresh,6
6,AHBA,rh.BA1.thresh,6
7,AHBA,.directory,1
8,AHBA,rh.BA6.thresh,6
9,AHBA,lh.BA1.thresh,6
10,AHBA,lh.BA6.thresh,6
11,AHBA,rh.entorhinal_exvivo,6
12,AHBA,lh.BA45.thresh,6
13,AHBA,lh.BA4p.thresh,6
14,AHBA,rh.BA4a.thresh,6
15,AHBA,rh.aparc,6
16,AHBA,rh.aparc.a2009s,6
17,AHBA,lh.V2.thresh,6
18,AHBA,lh.BA4a,6
19,AHBA,rh.BA3a,6
20,AHBA,lh.aparc.a2009s,6
21,AHBA,rh.BA44,6
22,AHBA,lh.MT,6
23,AHBA,rh.BA4p,6
24,AHBA,lh.BA3b.thresh,6
25,AHBA,rh.MT,6
26,AHBA,rh.V2.thresh,6
27,AHBA,lh.BA1,6
28,AHBA,lh.MT.thresh,6
29,AHBA,aparc.annot.a2009s,6
30,AHBA,rh.500.aparc,6
31,AHBA,rh.cortex,6
32,AHBA,rh.BA45.thresh,6
33,AHBA,aparc.annot,6
34,AHBA,rh.BA1,6
35,AHBA,rh.BA4a,6
36,AHBA,lh.BA4a.thresh,6
37,AHBA,rh.BA4p.thresh,6
38,AHBA,rh.V1,6
39,AHBA,lh.BA,6
40,AHBA,rh.aparc.DKTatlas40,6
41,AHBA,rh.V1.thresh,6
42,AHBA,lh.V1,6
43,AHBA,lh.BA3a.thresh,6
44,AHBA,rh.BA.thresh,6
45,AHBA,rh.BA44.thresh,6
46,AHBA,rh.BA,6
47,AHBA,lh.BA3b,6
48,AHBA,lh.BA45,6
49,AHBA,lh.aparc.DKTatlas40,6
50,AHBA,lh.entorhinal_exvivo,6
51,AHBA,rh.BA2,6
52,AHBA,rh.BA3b.thresh,6
53,AHBA,lh.BA2,6
54,AHBA,rh.perirhinal,6
55,AHBA,lh.BA2.thresh,6
56,AHBA,lh.500.aparc,6
57,AHBA,rh.BA2.thresh,6
58,AHBA,rh.MT.thresh,6
59,AHBA,lh.perirhinal,6
60,AHBA,rh.V2,6
61,AHBA,lh.BA44,6
62,AHBA,lh.BA4p,6
63,AHBA,aparc.annot.DKTatlas40,6
64,AHBA,BA,6
65,AHBA,lh.aparc.label,1
66,AHBA,lh.V2,6
67,AHBA,lh.BA6,6
68,AHBA,lh.BA.thresh,6
69,AHBA,BA.thresh,6
70,AHBA,lh.V1.thresh,6
71,AHBA,rh.BA6,6
72,AHBA,lh.BA3a,6
