,dataset,label,count
0,DevProso,lh.aparc.a2009s,86
1,DevProso,Yeo_Brainmap_fsaverage_README,1
2,DevProso,rh.BA4a_exvivo,83
3,DevProso,lh.BA1_exvivo,83
4,DevProso,lh.entorhinal_exvivo,83
5,DevProso,lh.BA1_exvivo.thresh,83
6,DevProso,rh.BA4a_exvivo.thresh,83
7,DevProso,lh.BA2_exvivo,83
8,DevProso,lh.oasis.chubs.lateraltemporal,1
9,DevProso,lh.BA2_exvivo.thresh,83
10,DevProso,rh.BA4p_exvivo,83
11,DevProso,lh.BA3a_exvivo,83
12,DevProso,lh.oasis.chubs.medialpfc,1
13,DevProso,lh.BA3a_exvivo.thresh,83
14,DevProso,rh.BA4p_exvivo.thresh,83
15,DevProso,lh.BA3b_exvivo,83
16,DevProso,lh.oasis.chubs.mtl,1
17,DevProso,lh.BA3b_exvivo.thresh,83
18,DevProso,rh.BA6_exvivo,83
19,DevProso,lh.BA44_exvivo,83
20,DevProso,lh.oasis.chubs.retrosplenial,1
21,DevProso,lh.BA44_exvivo.thresh,83
22,DevProso,rh.BA6_exvivo.thresh,83
23,DevProso,lh.BA45_exvivo,83
24,DevProso,lh.oasis.chubs.tp,1
25,DevProso,lh.BA45_exvivo.thresh,83
26,DevProso,rh.MT_exvivo,83
27,DevProso,lh.BA4a_exvivo,83
28,DevProso,lh.perirhinal_exvivo,83
29,DevProso,lh.BA4a_exvivo.thresh,83
30,DevProso,rh.MT_exvivo.thresh,83
31,DevProso,lh.BA4p_exvivo,83
32,DevProso,lh.perirhinal_exvivo.thresh,83
33,DevProso,lh.BA4p_exvivo.thresh,83
34,DevProso,rh.Medial_wall,4
35,DevProso,lh.BA6_exvivo,83
36,DevProso,rh.BA1_exvivo,83
37,DevProso,lh.BA6_exvivo.thresh,83
38,DevProso,rh.PALS_B12.labels,1
39,DevProso,lh.MT_exvivo,83
40,DevProso,rh.BA1_exvivo.thresh,83
41,DevProso,lh.MT_exvivo.thresh,83
42,DevProso,rh.PALS_B12_Brodmann,1
43,DevProso,lh.Medial_wall,4
44,DevProso,rh.BA2_exvivo,83
45,DevProso,lh.PALS_B12.labels,1
46,DevProso,rh.BA2_exvivo.thresh,83
47,DevProso,lh.PALS_B12_Brodmann,1
48,DevProso,rh.BA3a_exvivo,83
49,DevProso,lh.PALS_B12_Lobes,1
50,DevProso,lh.aparc,87
51,DevProso,lh.PALS_B12_OrbitoFrontal,1
52,DevProso,rh.BA3a_exvivo.thresh,83
53,DevProso,lh.PALS_B12_Visuotopic,1
54,DevProso,rh.PALS_B12_Lobes,1
55,DevProso,lh.V1_exvivo,83
56,DevProso,rh.BA3b_exvivo,83
57,DevProso,lh.V1_exvivo.thresh,83
58,DevProso,rh.PALS_B12_Visuotopic,1
59,DevProso,lh.V2_exvivo,83
60,DevProso,rh.BA3b_exvivo.thresh,83
61,DevProso,lh.V2_exvivo.thresh,83
62,DevProso,lh.Yeo_Brainmap_12Comp_PrActGivenComp,1
63,DevProso,lh.Yeo2011_17NetworksConfidence_N1000,1
64,DevProso,lh.Yeo2011_17Networks_N1000,1
65,DevProso,lh.Yeo_Brainmap_13Comp_PrActGivenComp,1
