,dataset,label,count
0,HCP,fsaverage_MPM,74
1,HCP,label_stats,74
2,HCP,rh.BA4p,74
3,HCP,BA,74
4,HCP,lh.sbps,74
5,HCP,BA.thresh,74
6,HCP,lh.mp_aparc,36
7,HCP,aparc.annot.DKTatlas40,74
8,HCP,lh.perirhinal,74
9,HCP,aparc.annot.a2009s,74
10,HCP,lh.ts,73
11,HCP,aparc.annot,74
12,HCP,rh.1,37
13,HCP,rh.whole_brain,5
14,HCP,rh.BA4p.thresh,74
15,HCP,lh.1,36
16,HCP,rh.BA6,74
17,HCP,lh.2,74
18,HCP,rh.BA6.thresh,74
19,HCP,lh.BA,74
20,HCP,rh.2,74
21,HCP,lh.BA.thresh,74
22,HCP,rh.ControlB,70
23,HCP,lh.BA1,74
24,HCP,rh.3,49
25,HCP,lh.BA1.thresh,74
26,HCP,rh.ControlC,70
27,HCP,lh.BA2,74
28,HCP,rh.BA,74
29,HCP,lh.BA2.thresh,74
30,HCP,rh.HCP_ifrms_a,36
31,HCP,lh.BA3a,74
32,HCP,rh.BA.thresh,74
33,HCP,lh.BA3a.thresh,74
34,HCP,rh.HCP_ifrms_v2,35
35,HCP,lh.BA3b,74
36,HCP,rh.BA1,74
37,HCP,lh.BA3b.thresh,74
38,HCP,rh.MT,74
39,HCP,lh.BA44,74
40,HCP,lh.BA44.thresh,74
41,HCP,rh.MCGS,74
42,HCP,lh.BA45,74
43,HCP,rh.BA2,74
44,HCP,lh.BA45.thresh,74
45,HCP,rh.PFC_annot,36
46,HCP,lh.BA4a,74
47,HCP,rh.BA2.thresh,74
48,HCP,lh.BA4a.thresh,74
49,HCP,rh.MT.thresh,74
50,HCP,lh.BA4p,74
51,HCP,lh.BA4p.thresh,74
52,HCP,rh.SBPS,3
53,HCP,lh.BA6,74
54,HCP,rh.BA3a.thresh,74
55,HCP,lh.BA6.thresh,74
56,HCP,rh.BA3b,74
57,HCP,lh.ControlB,70
58,HCP,rh.BA3b.thresh,74
59,HCP,lh.ControlC,70
60,HCP,rh.BA44,74
61,HCP,lh.HCP_ifrms_a,36
62,HCP,lh.prculs,74
63,HCP,lh.HCP_ifrms_tertiary,36
64,HCP,lh.aparc.DKTatlas40,74
65,HCP,lh.HCP_ifrms_tertiary_sps,35
66,HCP,lh.aalf,73
67,HCP,rh.POS,74
68,HCP,lh.HCP_ifrms_tertiary_sps_v2,35
69,HCP,lh.lfms,73
70,HCP,rh.SPS,72
71,HCP,lh.HCP_ifrms_tertiary_sps_v3,35
72,HCP,lh.aparc.a2009s,77
73,HCP,rh.ds,73
74,HCP,lh.aparc,78
75,HCP,rh.half,73
76,HCP,lh.HCP_ifrms_tertiary_v3,36
77,HCP,rh.BA44.thresh,74
78,HCP,lh.HCP_ifrms_v2,35
79,HCP,rh.V1,74
80,HCP,lh.MCGS,74
81,HCP,rh.aparc,78
82,HCP,lh.MT,74
83,HCP,rh.BA45,74
84,HCP,lh.MT.thresh,74
85,HCP,lh.prcus1,74
86,HCP,lh.PCC_PROB_maps,1
87,HCP,rh.BA45.thresh,74
88,HCP,lh.PFC_annot,36
89,HCP,rh.V1.thresh,74
90,HCP,lh.POS,74
91,HCP,rh.V2,74
92,HCP,lh.SPS,72
93,HCP,rh.V2.thresh,74
94,HCP,lh.V1,74
95,HCP,rh.BA4a,74
96,HCP,lh.V1.thresh,74
97,HCP,rh.aalf,73
98,HCP,lh.V2,74
99,HCP,rh.HCP_ifrms_tertiary,36
100,HCP,lh.V2.thresh,74
101,HCP,lh.cortex.deformed,74
102,HCP,rh.BA4a.thresh,74
103,HCP,lh.cortex,77
104,HCP,lh.prcus2,74
105,HCP,lh.cortex.prehires,74
106,HCP,rh.aparc.a2009s,77
107,HCP,lh.ds,73
108,HCP,lh.prcus3,74
109,HCP,lh.entorhinal_exvivo,75
110,HCP,rh.cortex,77
111,HCP,lh.half,73
112,HCP,lh.PIMFS_sulci,71
113,HCP,lh.prts,73
114,HCP,rh.lfms,73
115,HCP,lh.HCP_INSULA_v1,72
116,HCP,rh.HCP_ifrms_tertiary_ifrms,1
117,HCP,rh.HCP_INSULA_v1,72
118,HCP,rh.HCP_ifrms_tertiary_sps,34
119,HCP,lh.ifrms_figure,72
120,HCP,rh.HCP_ifrms_tertiary_sps_v2,34
121,HCP,rh.ifrms_figure,72
122,HCP,rh.HCP_ifrms_tertiary_sps_v3,34
123,HCP,lh.???,2
124,HCP,lh.HCPMMP1,7
125,HCP,rh.HCP_ifrms_tertiary_v2,38
126,HCP,rh.HCPMMP1,3
127,HCP,rh.HCP_ifrms_tertiary_v3,36
128,HCP,rh.aparc.DKTatlas40,74
129,HCP,rh.cortex.deformed,74
130,HCP,lh.painfs,72
131,HCP,rh.prcus1,74
132,HCP,lh.aparc.-020,72
133,HCP,rh.cortex.prehires,74
134,HCP,rh.painfs,72
135,HCP,rh.entorhinal_exvivo,75
136,HCP,rh.ifs,73
137,HCP,rh.mp_aparc,36
138,HCP,lh.whole_brain,5
139,HCP,rh.perirhinal,74
140,HCP,rh.prculs,74
141,HCP,rh.prcus2,74
142,HCP,lh.aparc.-025,72
143,HCP,rh.prcus3,74
144,HCP,rh.sps,69
145,HCP,rh.HCPMMP1.annot-025,2
146,HCP,rh.HCPMMP1.annot-028,2
147,HCP,rh.HCPMMP1.annot-031,2
148,HCP,rh.HCPMMP1.annot-034,2
149,HCP,rh.aparc.-015,72
150,HCP,rh.aparc.-025,72
151,HCP,lh.IFS_FIX,27
152,HCP,glasser,3
153,HCP,rh.BA1.thresh,74
154,HCP,lh.sps,67
155,HCP,lh.aparc.-033,72
156,HCP,rh.BA3a,74
157,HCP,rh.prts,73
158,HCP,rh.sbps,74
159,HCP,rh.ts,73
160,HCP,rh.HCPMMP1.annot-026,2
161,HCP,rh.HCPMMP1.annot-029,2
162,HCP,rh.HCPMMP1.annot-032,2
163,HCP,rh.HCPMMP1.annot-035,2
164,HCP,rh.aparc.-020,72
165,HCP,rh.HCPMMP1.annot-003,2
166,HCP,.xdebug_tksurfer,1
