,dataset,label,count
0,MSC,lh.aparc.a2009s,11
1,MSC,Yeo_Brainmap_fsaverage_README,1
2,MSC,rh.BA4a_exvivo,11
3,MSC,lh.BA1_exvivo,11
4,MSC,lh.entorhinal_exvivo,11
5,MSC,lh.BA1_exvivo.thresh,11
6,MSC,rh.BA4a_exvivo.thresh,11
7,MSC,lh.BA2_exvivo,11
8,MSC,lh.oasis.chubs.lateraltemporal,1
9,MSC,lh.BA2_exvivo.thresh,11
10,MSC,rh.BA4p_exvivo,11
11,MSC,lh.BA3a_exvivo,11
12,MSC,lh.oasis.chubs.medialpfc,1
13,MSC,lh.BA3a_exvivo.thresh,11
14,MSC,rh.BA4p_exvivo.thresh,11
15,MSC,lh.BA3b_exvivo,11
16,MSC,lh.oasis.chubs.mtl,1
17,MSC,lh.BA3b_exvivo.thresh,11
18,MSC,rh.BA6_exvivo,11
19,MSC,lh.BA44_exvivo,11
20,MSC,lh.oasis.chubs.retrosplenial,1
21,MSC,lh.BA44_exvivo.thresh,11
22,MSC,rh.BA6_exvivo.thresh,11
23,MSC,lh.BA45_exvivo,11
24,MSC,lh.oasis.chubs.tp,1
25,MSC,lh.BA45_exvivo.thresh,11
26,MSC,rh.MT_exvivo,11
27,MSC,lh.BA4a_exvivo,11
28,MSC,lh.perirhinal_exvivo,11
29,MSC,lh.BA4a_exvivo.thresh,11
30,MSC,rh.MT_exvivo.thresh,11
31,MSC,lh.BA4p_exvivo,11
32,MSC,lh.perirhinal_exvivo.thresh,11
33,MSC,lh.BA4p_exvivo.thresh,11
34,MSC,rh.Medial_wall,1
35,MSC,lh.BA6_exvivo,11
36,MSC,rh.BA1_exvivo,11
37,MSC,lh.BA6_exvivo.thresh,11
38,MSC,rh.PALS_B12.labels,1
39,MSC,lh.MT_exvivo,11
40,MSC,rh.BA1_exvivo.thresh,11
41,MSC,lh.MT_exvivo.thresh,11
42,MSC,rh.PALS_B12_Brodmann,1
43,MSC,lh.Medial_wall,1
44,MSC,rh.BA2_exvivo,11
45,MSC,lh.PALS_B12.labels,1
46,MSC,rh.BA2_exvivo.thresh,11
47,MSC,lh.PALS_B12_Brodmann,1
48,MSC,rh.BA3a_exvivo,11
49,MSC,lh.PALS_B12_Lobes,1
50,MSC,lh.aparc,12
51,MSC,lh.PALS_B12_OrbitoFrontal,1
52,MSC,rh.BA3a_exvivo.thresh,11
53,MSC,lh.PALS_B12_Visuotopic,1
54,MSC,rh.PALS_B12_Lobes,1
55,MSC,lh.V1_exvivo,11
56,MSC,rh.BA3b_exvivo,11
57,MSC,lh.V1_exvivo.thresh,11
58,MSC,rh.PALS_B12_Visuotopic,1
59,MSC,lh.V2_exvivo,11
60,MSC,rh.BA3b_exvivo.thresh,11
61,MSC,lh.V2_exvivo.thresh,11
62,MSC,lh.Yeo_Brainmap_12Comp_PrActGivenComp,1
63,MSC,lh.Yeo2011_17NetworksConfidence_N1000,1
64,MSC,lh.Yeo2011_17Networks_N1000,1
65,MSC,lh.Yeo_Brainmap_13Comp_PrActGivenComp,1
66,MSC,lh.Yeo2011_7NetworksConfidence_N1000,1
67,MSC,lh.cortex,11
68,MSC,lh.Yeo2011_7Networks_N1000,1
69,MSC,lh.Yeo_Brainmap_14Comp_PrActGivenComp,1
70,MSC,lh.Yeo_Brainmap_10Comp_PrActGivenComp,1
71,MSC,lh.aparc.a2005s,1
72,MSC,lh.Yeo_Brainmap_10to14Comp_Flexibility,1
73,MSC,lh.Yeo_Brainmap_10to14Comp_TopSpecializationComp,1
74,MSC,lh.Yeo_Brainmap_10to14Comp_Specialization,1
75,MSC,lh.Yeo_Brainmap_11Comp_PrActGivenComp,1
76,MSC,lh.Yeo_Brainmap_10to14Comp_SpecializationROI,1
77,MSC,rh.Yeo2011_17NetworksConfidence_N1000,1
78,MSC,lh.entorhinal_exvivo.thresh,11
79,MSC,rh.V1_exvivo,11
80,MSC,lh.oasis.chubs,1
81,MSC,rh.BA44_exvivo,11
82,MSC,lh.oasis.chubs.ifc,1
83,MSC,rh.BA44_exvivo.thresh,11
84,MSC,lh.oasis.chubs.ipc,1
85,MSC,rh.BA45_exvivo,11
86,MSC,lh.oasis.chubs.ips,1
87,MSC,rh.BA45_exvivo.thresh,11
88,MSC,rh.PALS_B12_OrbitoFrontal,1
89,MSC,rh.V1_exvivo.thresh,11
90,MSC,rh.V2_exvivo,11
91,MSC,rh.V2_exvivo.thresh,11
92,MSC,rh.Yeo2011_17Networks_N1000,1
93,MSC,rh.Yeo2011_7NetworksConfidence_N1000,1
94,MSC,rh.Yeo2011_7Networks_N1000,1
95,MSC,rh.Yeo_Brainmap_10Comp_PrActGivenComp,1
96,MSC,rh.Yeo_Brainmap_10to14Comp_Flexibility,1
97,MSC,rh.Yeo_Brainmap_10to14Comp_Specialization,1
98,MSC,rh.Yeo_Brainmap_10to14Comp_SpecializationROI,1
99,MSC,rh.Yeo_Brainmap_10to14Comp_TopSpecializationComp,1
100,MSC,rh.Yeo_Brainmap_11Comp_PrActGivenComp,1
101,MSC,rh.Yeo_Brainmap_12Comp_PrActGivenComp,1
102,MSC,rh.Yeo_Brainmap_13Comp_PrActGivenComp,1
103,MSC,rh.Yeo_Brainmap_14Comp_PrActGivenComp,1
