,dataset,label,count
0,NH_Primates,BA,64
1,NH_Primates,aparc.annot.a2009s,64
2,NH_Primates,aparc.annot,64
3,NH_Primates,lh.BA,64
4,NH_Primates,lh.BA1,64
5,NH_Primates,lh.BA2,64
6,NH_Primates,lh.BA3a,64
7,NH_Primates,lh.BA3b,64
8,NH_Primates,lh.BA44,64
9,NH_Primates,lh.BA45,64
10,NH_Primates,lh.BA4a,64
11,NH_Primates,lh.BA4p,64
12,NH_Primates,lh.BA6,64
13,NH_Primates,lh.MT,64
14,NH_Primates,lh.V1,64
15,NH_Primates,lh.V2,64
16,NH_Primates,lh.aparc.a2009s,67
17,NH_Primates,lh.aparc,68
18,NH_Primates,lh.cortex,67
19,NH_Primates,lh.entorhinal_exvivo,65
20,NH_Primates,lh.lobesfile,64
21,NH_Primates,rh.BA,64
22,NH_Primates,rh.BA1,64
23,NH_Primates,rh.BA2,64
24,NH_Primates,rh.BA3a,64
25,NH_Primates,rh.BA3b,64
26,NH_Primates,rh.BA44,64
27,NH_Primates,rh.BA45,64
28,NH_Primates,rh.BA4a,64
29,NH_Primates,rh.BA4p,64
30,NH_Primates,rh.BA6,64
31,NH_Primates,rh.MT,64
32,NH_Primates,rh.V1,64
33,NH_Primates,rh.V2,64
34,NH_Primates,rh.aparc.a2009s,67
35,NH_Primates,rh.aparc,68
36,NH_Primates,rh.cortex,67
37,NH_Primates,rh.entorhinal_exvivo,65
38,NH_Primates,rh.lobesfile,64
39,NH_Primates,aparc_labels,68
40,NH_Primates,lh.lobesStrict,60
41,NH_Primates,lh.frontal,60
42,NH_Primates,lh.cingulate,60
43,NH_Primates,lh.occipital,60
44,NH_Primates,lh.temporal,60
45,NH_Primates,lh.parietal,60
46,NH_Primates,lh.insula,60
47,NH_Primates,rh.lobesStrict,60
48,NH_Primates,rh.frontal,60
49,NH_Primates,rh.cingulate,60
50,NH_Primates,rh.occipital,60
51,NH_Primates,rh.temporal,60
52,NH_Primates,rh.parietal,60
53,NH_Primates,rh.insula,60
54,NH_Primates,label_stats,61
55,NH_Primates,lh.INSULA,60
56,NH_Primates,rh.INSULA,60
57,NH_Primates,lh.POS,60
58,NH_Primates,lh.prculs,58
59,NH_Primates,lh.isms,34
60,NH_Primates,lh.sbps,60
61,NH_Primates,lh.w,60
62,NH_Primates,lh.MCGS,60
63,NH_Primates,lh.MCGS3,60
64,NH_Primates,lh.MCGS2,58
65,NH_Primates,lh.2,34
66,NH_Primates,rh.POS,60
67,NH_Primates,rh.prculs,58
68,NH_Primates,rh.x,40
69,NH_Primates,rh.sbps,60
70,NH_Primates,rh.prcus2,44
71,NH_Primates,rh.2,30
72,NH_Primates,rh.w,60
73,NH_Primates,rh.MCGS,60
74,NH_Primates,rh.MCGS3,60
75,NH_Primates,rh.MCGS2,58
76,NH_Primates,rh.MCGS1,26
77,NH_Primates,lh.PMC_consistent_sulci,60
78,NH_Primates,rh.PMC_consistent_sulci,60
79,NH_Primates,lh.IFRMS,34
80,NH_Primates,rh.IFRMS,30
81,NH_Primates,lh.ISMS,34
82,NH_Primates,lh.PRCULS,58
83,NH_Primates,rh.PRCULS,58
84,NH_Primates,rh.PRCUS2,44
85,NH_Primates,lh.W,60
86,NH_Primates,rh.SSPLSV,40
87,NH_Primates,rh.W,60
88,NH_Primates,rh.MCGS_PATTERN,60
89,NH_Primates,lh.MCGS_PATTERN,60
90,NH_Primates,rh.PMC_ROI,107
91,NH_Primates,lh.PMC_ROI,60
92,NH_Primates,aparc_labels_DK,60
93,NH_Primates,lh.PMC_ROI_DK,60
94,NH_Primates,rh.PMC_ROI_DK,60
95,NH_Primates,rh.olfs_MPM_binarized,60
96,NH_Primates,lh.olfs_MPM_binarized,60
97,NH_Primates,lh.tolfs_MPM_binarized,60
98,NH_Primates,rh.tolfs_MPM_binarized,60
99,NH_Primates,lh.x,34
100,NH_Primates,lh.prcus2,46
101,NH_Primates,rh.isms,34
102,NH_Primates,rh.ISMS,34
103,NH_Primates,lh.PRCUS2,46
104,NH_Primates,lh.SSPLSV,34
105,NH_Primates,lh.3,4
106,NH_Primates,lh.MCGS1,17
107,NH_Primates,lh.ICGSP,4
108,NH_Primates,lh.prcus1,9
109,NH_Primates,lh.PRCUS1,9
110,NH_Primates,lh.CoSnc,32
111,NH_Primates,lh.MFSnc,32
112,NH_Primates,lh.MPM.FG1,1
113,NH_Primates,lh.MPM.FG2,1
114,NH_Primates,lh.MPM.FG3,1
115,NH_Primates,lh.MPM.FG4,1
116,NH_Primates,lh.MPM.hOc1,1
117,NH_Primates,lh.MPM.hOc2,1
118,NH_Primates,lh.MPM.hOc3v,1
119,NH_Primates,lh.MPM.hOc4v,1
120,NH_Primates,lh.Medial_wall,3
121,NH_Primates,lh.OTSnc,32
122,NH_Primates,lh.PPA,1
123,NH_Primates,lh.aparc.a2009s.annot,1
124,NH_Primates,lh.aparc.a2009s.annot.p,1
125,NH_Primates,lh.aparc.annot,1
126,NH_Primates,lh.aparc.annot.p,1
127,NH_Primates,lh.mFus,1
128,NH_Primates,lh.pFus,1
129,NH_Primates,rh.CoSnc,32
130,NH_Primates,rh.MFSnc,32
131,NH_Primates,rh.MPM.FG1,1
132,NH_Primates,rh.MPM.FG2,1
133,NH_Primates,rh.MPM.FG3,1
134,NH_Primates,rh.MPM.FG4,1
135,NH_Primates,rh.MPM.hOc1,1
136,NH_Primates,rh.MPM.hOc2,1
137,NH_Primates,rh.MPM.hOc3v,1
138,NH_Primates,rh.MPM.hOc4v,1
139,NH_Primates,rh.Medial_wall,3
140,NH_Primates,rh.OTSnc,32
141,NH_Primates,rh.PPA,1
142,NH_Primates,rh.aparc.a2009s.annot,1
143,NH_Primates,rh.aparc.a2009s.annot.p,1
144,NH_Primates,rh.aparc.annot,1
