,dataset,label,count
0,NORA,dp1_projected_label,1
1,NORA,dp1_projected_mFus,1
2,NORA,dp1_projected_pFus,1
3,NORA,ifrms,1
4,NORA,glasser,1
5,NORA,MPM.lh.FG12,1
6,NORA,rh.Yeo_Brainmap_10to14Comp_TopSpecializationComp,2
7,NORA,MPM_lh.FG1,1
8,NORA,MPM_lh.FG12,1
9,NORA,MPM_lh.FG2,1
10,NORA,MPM_lh.FG3,1
11,NORA,MPM_lh.FG4,1
12,NORA,MPM_lh.FGall,1
13,NORA,MPM_lh.hOc1,1
14,NORA,MPM_lh.hOc2,1
15,NORA,MPM_lh.hOc3v,1
16,NORA,MPM_lh.hOc4v,1
17,NORA,MPM_rh.FG1,1
18,NORA,MPM_rh.FG12,1
19,NORA,MPM_rh.FG2,1
20,NORA,MPM_rh.FG3,1
21,NORA,rh.Yeo_Brainmap_10to14Comp_Specialization,2
22,NORA,MPM_rh.FGall,1
23,NORA,MPM_rh.hOc1,1
24,NORA,MPM_rh.hOc2,1
25,NORA,MPM_rh.hOc3v,1
26,NORA,MPM_rh.hOc4v,1
27,NORA,Yeo_Brainmap_fsaverage_README,2
28,NORA,lh.BA1_exvivo,208
29,NORA,lh.BA1_exvivo.thresh,208
30,NORA,lh.BA2_exvivo,208
31,NORA,lh.BA2_exvivo.thresh,208
32,NORA,lh.BA3a_exvivo,208
33,NORA,rh.Yeo_Brainmap_10to14Comp_SpecializationROI,2
34,NORA,lh.BA3b_exvivo,208
35,NORA,lh.BA3b_exvivo.thresh,208
36,NORA,lh.BA44_exvivo,208
37,NORA,lh.BA44_exvivo.thresh,208
38,NORA,lh.BA45_exvivo,208
39,NORA,lh.BA45_exvivo.thresh,208
40,NORA,lh.BA4a_exvivo,208
41,NORA,lh.BA4a_exvivo.thresh,208
42,NORA,lh.BA4p_exvivo,208
43,NORA,lh.BA4p_exvivo.thresh,208
44,NORA,lh.BA6_exvivo,208
45,NORA,lh.BA6_exvivo.thresh,208
46,NORA,lh.HCP-MMP1,1
47,NORA,lh.MPM_mFus,1
48,NORA,lh.MPM_pFus,1
49,NORA,lh.MT_exvivo,208
50,NORA,lh.MT_exvivo.thresh,208
51,NORA,lh.PALS_B12_OrbitoFrontal,2
52,NORA,rh.BA4a_exvivo.thresh,208
53,NORA,rh.BA4p_exvivo,208
54,NORA,rh.BA4p_exvivo.thresh,208
55,NORA,rh.BA6_exvivo.thresh,208
56,NORA,lh.PALS_B12_Visuotopic,2
57,NORA,lh.V1_exvivo,208
58,NORA,lh.V1_exvivo.thresh,208
59,NORA,lh.V2_exvivo,208
60,NORA,register,1
61,NORA,lh.entorhinal_exvivo,365
62,NORA,lh.Yeo_Brainmap_10Comp_PrActGivenComp,2
63,NORA,rh.BA6_exvivo,208
64,NORA,lh.Yeo_Brainmap_10to14Comp_Flexibility,2
65,NORA,rh.HCP-MMP1,1
66,NORA,lh.Yeo_Brainmap_10to14Comp_Specialization,2
67,NORA,lh.Yeo_Brainmap_10to14Comp_SpecializationROI,2
68,NORA,lh.Yeo_Brainmap_10to14Comp_TopSpecializationComp,2
69,NORA,lh.Yeo_Brainmap_11Comp_PrActGivenComp,2
70,NORA,lh.Yeo_Brainmap_12Comp_PrActGivenComp,2
71,NORA,lh.Yeo_Brainmap_14Comp_PrActGivenComp,2
72,NORA,lh.oasis.chubs.lateraltemporal,2
73,NORA,lh.oasis.chubs.medialpfc,2
74,NORA,lh.oasis.chubs.retrosplenial,2
75,NORA,rh.MPM_pFus,1
76,NORA,rh.MT_exvivo,208
77,NORA,rh.PALS_B12_Brodmann,2
78,NORA,rh.MT_exvivo.thresh,208
79,NORA,lh.V2_exvivo.thresh,208
80,NORA,rh.PALS_B12_Visuotopic,2
81,NORA,rh.V1_exvivo,208
82,NORA,lh.oasis.chubs.ifc,2
83,NORA,lh.oasis.chubs.ipc,2
84,NORA,lh.oasis.chubs.ips,2
85,NORA,lh.oasis.chubs.mtl,2
86,NORA,lh.perirhinal_exvivo.thresh,208
87,NORA,rh.PALS_B12_OrbitoFrontal,2
88,NORA,lh.oasis.chubs.tp,2
89,NORA,rh.V2_exvivo,208
90,NORA,lh.perirhinal_exvivo,208
91,NORA,rh.MPM_mFus,1
92,NORA,rh.V2_exvivo.thresh,208
93,NORA,lh.Yeo2011_7NetworksConfidence_N1000,2
94,NORA,rh.BA1_exvivo.thresh,208
95,NORA,rh.BA2_exvivo,208
96,NORA,rh.BA2_exvivo.thresh,208
97,NORA,rh.BA3a_exvivo,208
98,NORA,rh.BA3a_exvivo.thresh,208
99,NORA,rh.BA3b_exvivo,208
100,NORA,MPM_rh.FG4,1
101,NORA,rh.BA44_exvivo,208
102,NORA,rh.BA44_exvivo.thresh,208
103,NORA,rh.BA45_exvivo,208
104,NORA,rh.BA45_exvivo.thresh,208
105,NORA,rh.BA4a_exvivo,208
106,NORA,annot,1
107,NORA,lh.Medial_wall,3
108,NORA,lh.PALS_B12.labels,2
109,NORA,lh.PALS_B12_Brodmann,2
110,NORA,lh.BA3a_exvivo.thresh,208
111,NORA,lh.PALS_B12_Lobes,2
112,NORA,lh.Yeo2011_7Networks_N1000,2
113,NORA,lh.aparc.a2005s,2
114,NORA,rh.BA1_exvivo,208
115,NORA,lh.aparc.a2009s,367
116,NORA,lh.aparc,368
117,NORA,rh.Medial_wall,3
118,NORA,rh.PALS_B12.labels,2
119,NORA,rh.PALS_B12_Lobes,2
120,NORA,lh.cortex,366
121,NORA,rh.perirhinal_exvivo.thresh,207
122,NORA,lh.entorhinal_exvivo.thresh,208
123,NORA,lh.Yeo2011_17NetworksConfidence_N1000,2
124,NORA,rh.Yeo2011_17NetworksConfidence_N1000,2
125,NORA,rh.V1_exvivo.thresh,208
126,NORA,lh.Yeo_Brainmap_13Comp_PrActGivenComp,2
127,NORA,rh.Yeo2011_17Networks_N1000,2
128,NORA,rh.Yeo2011_7NetworksConfidence_N1000,2
129,NORA,rh.Yeo2011_7Networks_N1000,2
130,NORA,rh.Yeo_Brainmap_10Comp_PrActGivenComp,2
131,NORA,rh.BA3b_exvivo.thresh,208
132,NORA,rh.Yeo_Brainmap_10to14Comp_Flexibility,2
133,NORA,lh.Yeo2011_17Networks_N1000,2
134,NORA,rh.perirhinal_exvivo,208
135,NORA,lh.oasis.chubs,2
136,NORA,rh.Yeo_Brainmap_11Comp_PrActGivenComp,2
137,NORA,rh.Yeo_Brainmap_12Comp_PrActGivenComp,2
138,NORA,rh.Yeo_Brainmap_13Comp_PrActGivenComp,2
139,NORA,rh.Yeo_Brainmap_14Comp_PrActGivenComp,2
140,NORA,rh.aparc.a2005s,2
141,NORA,rh.aparc.a2009s,367
142,NORA,rh.aparc,368
143,NORA,rh.cortex,366
144,NORA,rh.entorhinal_exvivo,365
145,NORA,rh.entorhinal_exvivo.thresh,207
146,NORA,rh.oasis.chubs,2
147,NORA,rh.oasis.chubs.ifc,2
148,NORA,rh.oasis.chubs.ipc,2
149,NORA,rh.oasis.chubs.ips,2
150,NORA,rh.oasis.chubs.lateraltemporal,2
151,NORA,rh.oasis.chubs.medialpfc,2
152,NORA,rh.oasis.chubs.mtl,2
153,NORA,rh.oasis.chubs.retrosplenial,2
154,NORA,rh.oasis.chubs.tp,2
155,NORA,100206_lh,1
156,NORA,subjects,1
157,NORA,BA,158
158,NORA,lh.painfs_p,70
159,NORA,lh.painfs_a,70
160,NORA,lh.infs_h,214
161,NORA,lh.infs_v,214
162,NORA,lh.ifs,214
163,NORA,lh.prts,213
164,NORA,lh.lfms,213
165,NORA,lh.aalf,213
166,NORA,lh.pmfs_a,214
167,NORA,lh.entorhinal,1
168,NORA,lh.entorhinal.thresh,1
169,NORA,lh.posterior.mtl,1
170,NORA,lh.temporal_lobe,1
171,NORA,rh.entorhinal,1
172,NORA,rh.entorhinal.thresh,1
173,NORA,rh.posterior.mtl,1
174,NORA,rh.temporal_lobe,1
175,NORA,fsaverage_MPM,65
176,NORA,label_stats,195
177,NORA,lh.mfms,81
178,NORA,.xdebug_tksurfer,7
179,NORA,lh.mfs,75
180,NORA,BA_exvivo,206
181,NORA,BA_exvivo.thresh,206
182,NORA,aparc.annot.DKTatlas,206
183,NORA,aparc.annot.a2009s,363
184,NORA,aparc.annot,363
185,NORA,lh.pmfs_i,213
186,NORA,lh.2,73
187,NORA,lh.pmfs_p,213
188,NORA,lh.dlPFC_manual,75
189,NORA,lh.prculs,72
190,NORA,lh.dlPFC_manual.annot,74
191,NORA,lh.prcus1,72
192,NORA,lh.economo,194
193,NORA,lh.prcus2,72
194,NORA,lh.prcus3,72
195,NORA,lh.prs_comb,75
196,NORA,lh.ifms,81
197,NORA,rh.PCS,20
198,NORA,lh.sbps,72
199,NORA,rh.POS,72
200,NORA,lh.sfs_a,213
201,NORA,lh.infs,24
202,NORA,rh.SFS,20
203,NORA,lh.sfs_comb,75
204,NORA,lh.infs_comb,75
205,NORA,lh.sfs_p,213
206,NORA,lh.BA_exvivo,206
207,NORA,lh.BA_exvivo.thresh,206
208,NORA,lh.IFS,20
209,NORA,lh.MCGS,72
210,NORA,lh.sprs,213
211,NORA,lh.sps,64
212,NORA,lh.NORA_PCC_all,64
213,NORA,lh.iprs,213
214,NORA,rh.ifms,80
215,NORA,lh.NORA_PCC_check,64
216,NORA,lh.test,2
217,NORA,lh.NORA_PCC_sps,56
218,NORA,lh.mFS,20
219,NORA,rh.ifs,214
220,NORA,lh.NORA_PCC_sps_v2,56
221,NORA,rh.2,72
222,NORA,lh.NORA_PCC_tst,64
223,NORA,rh.3,36
224,NORA,lh.NORA_PCC_v2,64
225,NORA,lh.NORA_ifrms,1
226,NORA,lh.NORA_ifrms2,1
227,NORA,lh.NORA_ifrms_2,1
228,NORA,lh.SFS,20
229,NORA,lh.NORA_ifrms_tertiary_8sulc_v1,64
230,NORA,rh.infs_comb,75
231,NORA,rh.infs,24
232,NORA,lh.NORA_ifrms_tertiary_sps_v1,56
233,NORA,rh.BA_exvivo,205
234,NORA,lh.PCS,20
235,NORA,rh.IFS,20
236,NORA,lh.POS,72
237,NORA,lh.mFSfs,19
238,NORA,lh.aparc.DKTatlas,206
239,NORA,lh.central,214
240,NORA,rh.MCGS,72
241,NORA,rh.BA_exvivo.thresh,205
242,NORA,rh.NORA_PCC_3,32
243,NORA,rh.NORA_PCC_3_v2,32
244,NORA,rh.NORA_PCC_all,64
245,NORA,rh.NORA_PCC_check,64
246,NORA,rh.NORA_PCC_sps,59
247,NORA,rh.NORA_PCC_sps_v2,59
248,NORA,rh.NORA_PCC_tst,64
249,NORA,rh.NORA_PCC_v2,64
250,NORA,rh.NORA_ifrms_2,1
